full_smiles,rejection
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,1.0
CCCCCC.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,0.828
CC(C)(C)OC.O=C1NC2=C(C=CC(Br)=C2)C1,0.33046123
CC(C)(C)OC.BrC1=CC=C(C(OC)=O)C=C1,0.079302053
O.CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,0.4362
CO.C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,0.49
CC(OCC)=O.O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,-0.242579891
O.O=P(OCC)(OCC)OCC,1.0
CC(C)=O.CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.8788
O.C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,0.399
O.C(Br)(Br)Br,0.5
CCO.CC1(NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC=CC=C6)C=CC=C3N1)C,0.941
CC(O)C.COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,0.326350993
CC1CCCO1.CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,0.697731208
CCO.CCC(C1=CC=CC=C1)C(=O)O,0.141639293
CC(C)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C)(C)C%13=CC=CC=C%13,0.989
CC(OCC)=O.COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,0.628
CCO.C1CC2=CC=CC=C2C1O,0.012985825
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,0.814
O.CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,0.9845
CC1CCCO1.C(#Cc1ccccc1)c1ccccc1,0.310118546
CC(C)(C)OC.OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,0.05282475
CO.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.83
O.CC1=NC=C(N1CCO)[N+](=O)[O-],0.8697
O.CC1=CC=CC=C1,0.19
CC(C)=O.CCC(C1=CC=CC=C1)C(=O)O,0.303852428
CO.C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)N,0.920375375
CCO.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,0.139211386
CO.OC1=CC=CC([N+]([O-])=O)=C1,0.29
CO.C#Cc1ccc(C)cc1,0.64
CO.O=C(O)C1=CC=C(C(O)=O)C=C1,0.94
CO.NC1=CC=CC(N)=N1,0.5
CO.N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.94
CO.CC1=CC(O)=C(C(C)C)C=C1,0.96
CCO.O=C(C(CC(CC(C(OC)=O)C)(C(OC)=O)C)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(C)C)C)C)C)C)C)C)C)OC,0.836
